,video_id,comments,comments_no_stopwords
0,xYSVXgVAYUw,"['1:12:00 knifes getting sharp', '53:08 wow', 'Nice stream Rossi', 'thank you for the stream rossi :)']","[""['1:12:00"", 'knifes', 'getting', ""sharp',"", ""'53:08"", ""wow',"", ""'Nice"", 'stream', ""Rossi',"", ""'thank"", 'stream', 'rossi', "":)']""]"
1,MIoZsJnpoes,"['did u see EDG kangkang awping today,  i wish u could hit like that bro, just return to your old form bro', 'We want that old rossi who can actually hit heads', 'Aaahh..raaasi, missed your streams', 'Drx and t1 won today', 'Best of luck for LCQ Rossi give your best ❤️']","[""['did"", 'u', 'see', 'EDG', 'kangkang', 'awping', 'today,', 'wish', 'u', 'could', 'hit', 'like', 'bro,', 'return', 'old', 'form', ""bro',"", ""'We"", 'want', 'old', 'rossi', 'actually', 'hit', ""heads',"", ""'Aaahh..raaasi,"", 'missed', ""streams',"", ""'Drx"", 't1', ""today',"", ""'Best"", 'luck', 'LCQ', 'Rossi', 'give', 'best', ""❤️']""]"
2,-kjnDtc2IJQ,"['5:04:04', '5:00:36 5HP clutch.. the guts of steel to re-peak at 5HP..😵\u200d💫']","[""['5:04:04',"", ""'5:00:36"", '5HP', 'clutch..', 'guts', 'steel', 're-peak', ""5HP..😵\\u200d💫']""]"
3,dcQEaKDLV1w,"['Ye to wahi hai na jo CSGO global me hack kr rha tha,,, admin ke samne cheats delete kr rha tha', 'Rossi bhai yaha se bhi block mardo merko', 'Hello softie,u are already radiant in banning,at least be radiant in aim,u r going to go down.', 'Bhai ke vp dekho jara 😂😮', 'Bro Rossi can u please do a fan meet when u come to Bangalore', 'Rossi bhai ascendent kab ban gye?', 'Why new account', 'hello']","[""['Ye"", 'wahi', 'hai', 'na', 'jo', 'CSGO', 'global', 'hack', 'kr', 'rha', 'tha,,,', 'admin', 'ke', 'samne', 'cheats', 'delete', 'kr', 'rha', ""tha',"", ""'Rossi"", 'bhai', 'yaha', 'se', 'bhi', 'block', 'mardo', ""merko',"", ""'Hello"", 'softie,u', 'already', 'radiant', 'banning,at', 'least', 'radiant', 'aim,u', 'r', 'going', 'go', ""down.',"", ""'Bhai"", 'ke', 'vp', 'dekho', 'jara', ""😂😮',"", ""'Bro"", 'Rossi', 'u', 'please', 'fan', 'meet', 'u', 'come', ""Bangalore',"", ""'Rossi"", 'bhai', 'ascendent', 'kab', 'ban', ""gye?',"", ""'Why"", 'new', ""account',"", ""'hello']""]"
4,VRCe7iovE1A,"['Koi dukh bhi nhi dikh raha bhai...kitna masti mein khel rahe...\nBro prople changes so fast 😮', 'No game sound', 'No game sound', '🛐🛐']","[""['Koi"", 'dukh', 'bhi', 'nhi', 'dikh', 'raha', 'bhai...kitna', 'masti', 'mein', 'khel', 'rahe...\\nBro', 'prople', 'changes', 'fast', ""😮',"", ""'No"", 'game', ""sound',"", ""'No"", 'game', ""sound',"", ""'🛐🛐']""]"
5,gN8zIkw-Gtc,"['Chut player .', 'All the best man ❤', 'Hey rossi .. I love ur gameplay 🥰', ""I'm streaming........ 0:01"", 'All the best!!!', 'All the best for super week👍', 'Do you play valo daily?', 'All the best for Super Week']","[""['Chut"", 'player', "".',"", ""'All"", 'best', 'man', ""❤',"", ""'Hey"", 'rossi', '..', 'I', 'love', 'ur', 'gameplay', ""🥰',"", '""I\'m', 'streaming........', '0:01"",', ""'All"", ""best!!!',"", ""'All"", 'best', 'super', ""week👍',"", ""'Do"", 'play', 'valo', ""daily?',"", ""'All"", 'best', 'Super', ""Week']""]"
6,GJPD7nnmTcs,"['1:23:26 Goluuu.... CHU.....GOT ME😂🤣', 'Be serious in game bc😊 47:38', 'rossiiiiiiiiiiiiiiiiiiiiiiiii', 'All the best for super week']","[""['1:23:26"", 'Goluuu....', 'CHU.....GOT', ""ME😂🤣',"", ""'Be"", 'serious', 'game', 'bc😊', ""47:38',"", ""'rossiiiiiiiiiiiiiiiiiiiiiiiii',"", ""'All"", 'best', 'super', ""week']""]"
7,q5qa9paD4ys,"['POG', 'Miss the Rossi Skillz funny and deadly combo..', 'Kannada is love 🤣😂🥰', 'arey itni jaldi khatm']","[""['POG',"", ""'Miss"", 'Rossi', 'Skillz', 'funny', 'deadly', ""combo..',"", ""'Kannada"", 'love', ""🤣😂🥰',"", ""'arey"", 'itni', 'jaldi', ""khatm']""]"
8,L9-zE_-oues,"['Yummy Opponents 😋', '2:19:11 CLIP IT', ""India's first, last and Only Hope 🥰😻😻"", '3:47:14 rank', ""India's best❤❤❤""]","[""['Yummy"", 'Opponents', ""😋',"", ""'2:19:11"", 'CLIP', ""IT',"", '""India\'s', 'first,', 'last', 'Only', 'Hope', '🥰😻😻"",', ""'3:47:14"", ""rank',"", '""India\'s', 'best❤❤❤""]']"
9,bsRqnYxrYr4,"['.', 'Rossi bhai yaha se bhi block mardo merko', 'yo wsssup word.exe', 'Ab sudhara hai 🤬🤬🤬', 'Word.exe 😂😂', 'Word.exe is bacckkk', 'are you the hacker?', 'Cheater 😡🤬', 'What is the res u were playing on pls reply. Clean edit😊', 'Tenz from india']","[""['.',"", ""'Rossi"", 'bhai', 'yaha', 'se', 'bhi', 'block', 'mardo', ""merko',"", ""'yo"", 'wsssup', ""word.exe',"", ""'Ab"", 'sudhara', 'hai', ""🤬🤬🤬',"", ""'Word.exe"", ""😂😂',"", ""'Word.exe"", ""bacckkk',"", ""'are"", ""hacker?',"", ""'Cheater"", ""😡🤬',"", ""'What"", 'res', 'u', 'playing', 'pls', 'reply.', 'Clean', ""edit😊',"", ""'Tenz"", ""india']""]"
