,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs,tagCount,title_no_stopwords,titleLength
0,pX3dMIROgLE,SkRossi,SkRossi Valorant Live India | Rank Grind #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-06-13 12:40:21+00:00,11625.0,1615.0,,0.0,P0D,sd,false,Tuesday,0 days 00:00:00.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '#loveyourself']",54
1,xYSVXgVAYUw,SkRossi,SkRossi Valorant Live India | Rank Grind #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-06-12 18:05:49+00:00,25497.0,2031.0,,4.0,PT4H13M42S,hd,false,Monday,0 days 04:13:42.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '#loveyourself']",54
2,MIoZsJnpoes,SkRossi,SkRossi Valorant Live India | Rank Grind #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-06-11 13:19:10+00:00,21017.0,1815.0,,5.0,PT4H9M2S,hd,false,Sunday,0 days 04:09:02.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '#loveyourself']",54
3,-kjnDtc2IJQ,SkRossi,SkRossi Valorant Live India OGvs RGE Grand Finale  | NODWIN Valorant Challengers South Asia,"@nodwingaming & include #VCSA #Nodwingaming #watchpartyvalorant 
Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-06-10 17:57:26+00:00,30758.0,1997.0,,3.0,PT5H28M45S,hd,false,Saturday,0 days 05:28:45.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', 'OGvs', 'RGE', 'Grand', 'Finale', '|', 'NODWIN', 'Valorant', 'Challengers', 'South', 'Asia']",91
4,dcQEaKDLV1w,SkRossi,SkRossi Valorant Live India | Ranking up new account  #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-18 14:30:16+00:00,32262.0,2196.0,,16.0,PT2H23M20S,hd,false,Thursday,0 days 02:23:20.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Ranking', 'new', 'account', '#loveyourself']",67
5,VRCe7iovE1A,SkRossi,SkRossi Valorant Live India | Rank Grind with GOD SQUAD  #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-17 18:00:36+00:00,36489.0,3075.0,,15.0,PT1H58M29S,hd,false,Wednesday,0 days 01:58:29.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', 'GOD', 'SQUAD', '#loveyourself']",70
6,gN8zIkw-Gtc,SkRossi,SkRossi Valorant Live India | Rank Grind | Turn on notifications please thanks :D #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-11 16:18:34+00:00,39748.0,3146.0,,14.0,PT2H36M55S,hd,false,Thursday,0 days 02:36:55.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '|', 'Turn', 'notifications', 'please', 'thanks', ':D', '#loveyourself']",95
7,GJPD7nnmTcs,SkRossi,SkRossi Valorant Live India | Rank Grind | It's super week time #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-09 16:14:46+00:00,38092.0,3020.0,,7.0,PT2H57M4S,hd,false,Tuesday,0 days 02:57:04.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '|', ""It's"", 'super', 'week', 'time', '#loveyourself']",77
8,q5qa9paD4ys,SkRossi,SkRossi Valorant Live India | Rank Grind #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-04 15:43:13+00:00,34545.0,2941.0,,6.0,PT1H49M31S,hd,false,Thursday,0 days 01:49:31.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '#loveyourself']",54
9,L9-zE_-oues,SkRossi,SkRossi Valorant Live India | Rank Grind #loveyourself,"Support the stream: https://streamlabs.com/skrossi UPI ID : ganeshrossi27@okicici
Global Esports Valorant Athlete: SKRossi (Ganesh) 
On this channel, I play Valorant live and sometimes other games as well. 
I am a part of the Indian Esports community, and I aspire to represent India at the biggest pro gaming events. 

Find me on my Social Profiles:
• Facebook : https://www.facebook.com/skrossigg
• Instagram : https://www.instagram.com/skrossi_
• Twitter : https://twitter.com/skrossigg
• Discord : https://discord.gg/QTXzbjg

Join this channel to get access to perks:
http://bit.ly/JoinSKRossi

Subscribe to my channel for more live gaming content:
http://bit.ly/GESKRossi

Know more about Valorant: 
• https://playvalorant.com/en-us/
• https://www.youtube.com/channel/UC01w...

#skrossi #valorant #valorantindia","['valorant', 'esports', 'valorant game', 'live gamer', 'pro gamer', 'indian esports', 'riot games valorant', 'global esports', 'SK Rossi', 'riot valorant', 'valorant live', 'live streaming gaming', 'valorant discord', 'valorant riot games', 'best esports games', 'valorant esports', 'valorant online', 'best esports team', 'valorant live stream', 'skrossi', 'Valorant Live', 'indian valorant', 'valorant india', 'radiant rank', 'valorant radiant', 'valorant radiant live', 'valorant ranked', 'valorant gameplay', 'valorant new skins']",2023-05-02 16:53:32+00:00,55781.0,4792.0,,7.0,PT3H47M38S,hd,false,Tuesday,0 days 03:47:38.000000000,29,"['SkRossi', 'Valorant', 'Live', 'India', '|', 'Rank', 'Grind', '#loveyourself']",54
